"Time","Event Type","Sensor","Message"
"Apr 4, 2019 14:00:28 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:28 152.120.4.100 named[7604]: 04-Apr-2019 10:00:28.461 queries: info: client 152.120.186.45#54250 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.4.100)"
"Apr 4, 2019 14:00:28 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:28 152.120.3.200 named[21871]: 04-Apr-2019 10:00:28.406 queries: info: client 152.120.186.45#54250 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:04:30 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:04:30 152.120.4.100 named[7604]: 04-Apr-2019 10:04:30.600 queries: info: client 152.120.186.45#62660 (arstechnica.com): query: arstechnica.com IN A + (152.120.4.100)"
"Apr 4, 2019 14:04:30 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:04:30 152.120.3.200 named[21871]: 04-Apr-2019 10:04:30.548 queries: info: client 152.120.186.45#62660 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:07:21 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:07:21 152.120.2.200 named[8062]: 04-Apr-2019 10:07:21.723 queries: info: client 152.120.222.153#59121 (arstechnica.com): query: arstechnica.com IN A +ED (152.120.2.200)"
"Apr 4, 2019 14:09:28 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:09:28 152.120.3.200 named[21871]: 04-Apr-2019 10:09:28.613 queries: info: client 152.120.186.45#63844 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:09:28 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:09:28 152.120.4.100 named[7604]: 04-Apr-2019 10:09:28.657 queries: info: client 152.120.186.45#63844 (arstechnica.com): query: arstechnica.com IN A + (152.120.4.100)"
"Apr 4, 2019 14:09:29 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:09:29 152.120.3.200 named[21871]: 04-Apr-2019 10:09:29.831 queries: info: client 152.120.186.45#60321 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:09:29 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:09:29 152.120.4.100 named[7604]: 04-Apr-2019 10:09:29.874 queries: info: client 152.120.186.45#60321 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.4.100)"
"Apr 4, 2019 14:14:52 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:14:52 152.120.3.200 named[21871]: 04-Apr-2019 10:14:52.640 queries: info: client 152.120.80.109#59821 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:14:52 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:14:52 152.120.4.100 named[7604]: 04-Apr-2019 10:14:52.687 queries: info: client 152.120.80.109#59821 (arstechnica.com): query: arstechnica.com IN A + (152.120.4.100)"
"Apr 4, 2019 14:14:53 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:14:53 152.120.3.200 named[21871]: 04-Apr-2019 10:14:53.878 queries: info: client 152.120.80.109#58038 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:14:53 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:14:53 152.120.4.100 named[7604]: 04-Apr-2019 10:14:53.924 queries: info: client 152.120.80.109#58038 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.4.100)"
"Apr 4, 2019 14:19:27 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:19:27 152.120.3.200 named[21871]: 04-Apr-2019 10:19:27.224 queries: info: client 152.120.186.45#63312 (sstats.arstechnica.com): query: sstats.arstechnica.com IN A + (152.120.3.200)"
"Apr 4, 2019 14:23:50 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:23:50 152.120.3.200 named[21871]: 04-Apr-2019 10:23:50.495 queries: info: client 152.120.186.45#51670 (arstechnica.com): query: arstechnica.com IN A + (152.120.3.200)"
