"Time","Event Type","Sensor","Message"
"Apr 4, 2019 14:00:04 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:04 152.120.2.200 named[8062]: 04-Apr-2019 10:00:04.431 queries: info: client 169.135.161.91#31912 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.2.200)"
"Apr 4, 2019 14:00:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:48 204.68.194.100 named[24211]: 04-Apr-2019 14:00:48.329 queries: info: client 152.122.1.7#3991 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.100)"
"Apr 4, 2019 14:00:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:48 204.68.195.201 named[29993]: 04-Apr-2019 10:00:48.521 queries: info: client 152.122.1.6#4883 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.195.201)"
"Apr 4, 2019 14:00:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:48 204.68.194.200 named[21493]: 04-Apr-2019 10:00:48.504 queries: info: client 152.122.1.6#7477 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.200)"
"Apr 4, 2019 14:00:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:48 204.68.194.200 named[21493]: 04-Apr-2019 10:00:48.344 queries: info: client 152.122.1.7#63552 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.200)"
"Apr 4, 2019 14:00:48 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:48 204.68.194.100 named[24211]: 04-Apr-2019 14:00:48.487 queries: info: client 152.122.1.6#41967 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.194.100)"
"Apr 4, 2019 14:00:49 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:00:49 204.68.195.201 named[29993]: 04-Apr-2019 10:00:49.564 queries: info: client 152.122.1.7#59606 (www.wikipedia.org): query: www.wikipedia.org IN A +ED (204.68.195.201)"
"Apr 4, 2019 14:02:59 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:02:59 152.120.3.200 named[21871]: 04-Apr-2019 10:02:59.573 queries: info: client 169.135.152.93#54794 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:02:59 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:02:59 152.120.4.100 named[7604]: 04-Apr-2019 10:02:59.598 queries: info: client 169.135.152.93#54794 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.4.100)"
"Apr 4, 2019 14:02:59 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:02:59 152.120.3.200 named[21871]: 04-Apr-2019 10:02:59.670 queries: info: client 169.135.152.93#52765 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:02:59 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:02:59 152.120.4.100 named[7604]: 04-Apr-2019 10:02:59.692 queries: info: client 169.135.152.93#52765 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.4.100)"
"Apr 4, 2019 14:03:17 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:03:17 152.120.3.200 named[21871]: 04-Apr-2019 10:03:17.136 queries: info: client 152.120.142.71#64948 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:10:43 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:10:43 152.120.3.200 named[21871]: 04-Apr-2019 10:10:43.681 queries: info: client 152.120.156.137#51493 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:10:43 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:10:43 152.120.3.200 named[21871]: 04-Apr-2019 10:10:43.755 queries: info: client 152.120.156.137#55579 (www.wikipedia.org): query: www.wikipedia.org IN A + (152.120.3.200)"
"Apr 4, 2019 14:11:38 UTC","dns","syslog.idn.dot.gov-network","<174>Apr  4 14:11:38 152.120.3.200 named[21871]: 04-Apr-2019 10:11:38.065 queries: info: client 169.135.150.18#52160 (www.wikipedia.org): query: www.wikipedia.org IN A +EDC (152.120.3.200)"
